,customer_name,country,status,CompanyType,address,url,email,phone,source,contacted_y_n,contact_date,contact_results,notes
0,OES DISTRIMED,Albania,Potential Customer,Distributor,Nikolle Kacorri No.1 Postal Code 1022 TIRANA - ALBANIA,http://www.oesdistrimed.com/english/contact.html,info@oesdistrimed.com,+355 42 270-660,Fair,n,,,Inquired about Image Intensifying Covers (Banded Bags) she showed them our samples. They asked for unit pricing. Tried to show them C-arm Covers and LHCs but were not interested. Most likely the C-arm Covers are too expensive for Albania so they use the Banded Bags as a cheaper alternative. For the Brushes they said they are already purchasing the CHG 4% and PVP 7.5% from our competitor in Italy Nex Medical. Would be willing to switch to us if the price is right. Simone can contact them and have them provide tender and contract award pricing in order to beat Nex.
1,Medikus,Austria,Potential Customer,Distributor,Brunner Str. 77-79 1230 Wien Austria,,,43 660 944 1329,Fair,n,,,Distributes to public and private hospitals. Estimated 2000 units. Dilara also offered her Endoscopy Mouthpieces and Endoseal Bags but said there is no market for them. She said she might be interested in other products in our catalog as well. She wants pricing and more details.
2,Hospithera,Belgium,Potential Customer,Distributor,1070 Anderlecht Belgium,http://www.hospithera.com/en/home.html,stephane.wechsler@hospithera.com,32 473 95 3095,Contract Award,y,17/1/19,17/1/19 Cold called and sent an email with prezi. catalogue and leaflets.,
3,WM Supplies,Belgium,Potential Customer,Distributor,Kortrijksestraat 30 8020 Oostkamp Belgium,https://www.wmsupplies.be,info@wmsupplies.be,32 56 71 20 41,Contract Award,y,9/1/19,9/1/19 Cold called and sent an email with the product catalogue and details of tender.,
4,Van Houdt,Belgium,Not Interested,Distributor,Brederodestraat 128 - 2018 Antwerp,http://www.vanhoudt-medical.be/nl/1/home.html,info@van-houdt.be,03 237 99 61,Contract Award,y,10/1/19,10/1/19 Cold called and they told me they were not interested in any new suppliers.,
5,Duomed,Belgium,Potential Customer,Distributor,Berkenlaan 53 1840 Londerzeel Belgium,https://www.duomed.be,info@duomed.be,32 52 30 59 56,Contract Award,n,,,Sell Fairmont closed system camera covers and P3 circled ring covers
6,Stopler,Belgium,Potential Customer,Wholesaler Local,1702 Dilbeek Belgium,https://stopler.nl/nl,info@stopler.be,32 2 267 38 10,Contract Award,y,17/1/19,17/1/19 Talked to secretar.asked me to send the tender and the catalogue ,
7,Dialex Biomedica,Belgium,Potential Customer,Distributor,3740 Bilzen Belgium,https://www.dialexbiomedica.be/nl,info@dialexbiomedica.be,32 (0) 89 41 71 40,Contract Award,y,10/1/19,10/1/19 cold called and sent an email.,
8,Farla Medical BVBA,Belgium,Potential Customer,Wholesaler Local,Lange Leemstraat 192 2018 Antwerpen BE ,https://www.farla-medical.com/fr,medical@farla.com,32 3 285 95 86/87,Contract Award,y,10/1/19,10/1/19 Cold called and sent an email with the prezi. catalogue. leaflets and videos.,
9,Michiels,Belgium,Potential Customer,Distributor,,,info@michiels.be,32 2268 4518,Internet,y,16/1/19,16/1/19 cold called and sent an email with the catalogue. prezi and leaflets.,
10,Orbi Pharma International,Belgium,Potential Customer,Distributor,,,info@orbi-pharma.be,32 1635 5348,Internet,y,17/1/19,17/1/19 Cold called and sent them an email with the prezi. catalogue and leaflets.,
11,P&R Medical,Belgium,Potential Customer,Distributor,High Tech Science Park 5/21 3690 - Diepenbeekn Belgium,http://www.prmedical.be/moreprod/sterilecovers,isabelle@prmedical.be,32 11 23 46 81,Internet,y,24/1/19,24/1/19 Cold called and sent an e-mail plus tender details.,
12,MAGNAMEDICA,Bolivia Plurinational State of,Potential Customer,,,https://www.magnamedica.net/index.php/nuestros-productos,,,Fair,n,,,Cengiz found in Medica 2018. Brushes. Endoscopy mouthpiece without strap. Private clinics. Their business is infection area but they want to grow. Camera cover with elastic tip. Plastic Sponge Light. Endo seal bag. Endo clean sponge. 6 months to register the products. They import from France. 
